2023-06-20 00:00:01 start                                   
2023-06-20 00:00:01 TLD:                                    https://www.tuwien.at
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Materialwissenschaften_2022.pdf|Materialwissenschaften
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Raumplanung_und_Raumordnung_2022.pdf|Raumplanung und Raumordnung
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Technische_Chemie_2022.pdf|Technische Chemie
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Technische_Mathematik_2022.pdf|Technische Mathematik
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Statistik-Wirtschaftsmathematik_2022.pdf|Statistik-Wirtschaftsmathematik
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Finanz-_und_Versicherungsmathematik_2022.pdf|Finanz- und Versicherungsmathematik
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Technische_Physik_2022.pdf|Technische Physik
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Physikalische_Energie-und_Messtechnik_2022.pdf|Physikalische Energie- und Messtechnik
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Umweltingenieurwesen_2022.pdf|Umweltingenieurwesen
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Verfahrenstechnik_und_nachhaltige_Produktion_2022.pdf|Verfahrenstechnikund nachhaltige Produktion
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Business_Informatics_2022.pdf|Business Informatics
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Data_Science_2022.pdf|Data Science
2023-06-20 00:00:05 extracted file[4]:                      /fileadmin/Assets/dienstleister/studienabteilung/Gemeinsame_Studienprogramme/Master_Infrastrukturmanagement.pdf|Masterstudium Infrastrukturmanagement
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Chemie_und_Technologie_der_Materialien.pdf|Masterstudium Chemie und Technologie der Materialien
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Green_Chemistry_2021_11_24__2_.pdf|Masterstudium Green Chemistry
2023-06-20 00:00:05 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2022/Masterstudium_Interdisciplinary_Mathemeatics_2022.pdf|Masterstudium Interdisciplinary Mathematics
2023-06-20 00:00:05 extracted file[4]:                      /fileadmin/Assets/dienstleister/studienabteilung/Gemeinsame_Studienprogramme/Masterstudium_Cartography.pdf|Internationales Masterstudium Cartography
2023-06-20 00:00:05 extracted file[2]:                      /fileadmin/Assets/dienstleister/studienabteilung/Doktoratsstudium/Doktoratsstudium_2022.pdf|Technische Wissenschaften
2023-06-20 00:00:05 extracted file[3]:                      /fileadmin/Assets/dienstleister/studienabteilung/Erweiterungsstudien/Erweiterungsstudium_Innovation_2022.pdf|Innovation
2023-06-20 00:00:05 extracted file[3]:                      /fileadmin/Assets/dienstleister/studienabteilung/Erweiterungsstudien/Erweiterungsstudium_Digitale_Kompetenzen_2022.pdf|Digitale Kompetenz
